bits,tdi,alpha,bin_lo,bin_hi,n_pixels,mean_signal_dn,pred_sigma,emp_sigma,ratio
lsb,64,1.0,32.0,64.0,30593,55.30565643310547,4.1563591957092285,4.122283935546875,0.9918016791343689
lsb,64,1.0,64.0,128.0,5091223,92.76082611083984,4.336352348327637,4.299220085144043,0.9914369583129883
lsb,64,1.0,128.0,256.0,119947,145.4834442138672,4.589956283569336,4.547740936279297,0.9908026456832886
lsb,128,0.1,0.0,1.0,1191419,0.5022011399269104,3.694873809814453,3.6627895832061768,0.991316556930542
lsb,128,0.1,1.0,2.0,1175486,1.4660800695419312,3.698554515838623,3.667133331298828,0.9915044903755188
lsb,128,0.1,2.0,4.0,1764295,2.8167591094970703,3.714519739151001,3.6829679012298584,0.9915058016777039
lsb,128,0.1,4.0,8.0,1027962,5.335698127746582,3.7256970405578613,3.6937143802642822,0.9914156794548035
lsb,128,0.1,8.0,16.0,83473,9.060546875,3.737445116043091,3.705991268157959,0.9915841221809387
lsb,128,0.1,16.0,32.0,245,17.540407180786133,3.810941457748413,3.788846254348755,0.9942021369934082
lsb,128,0.3,0.0,1.0,386264,0.8023561835289001,3.68723726272583,3.6548211574554443,0.991208553314209
lsb,128,0.3,1.0,2.0,473889,1.4651457071304321,3.7075986862182617,3.6755499839782715,0.9913559556007385
lsb,128,0.3,2.0,4.0,770980,2.99939227104187,3.7056736946105957,3.6736955642700195,0.9913704991340637
lsb,128,0.3,4.0,8.0,1522215,5.944960594177246,3.726179361343384,3.6938893795013428,0.9913343191146851
lsb,128,0.3,8.0,16.0,1569395,11.238320350646973,3.7587382793426514,3.7262346744537354,0.9913524985313416
lsb,128,0.3,16.0,32.0,512812,20.173418045043945,3.7991771697998047,3.765890598297119,0.9912384748458862
lsb,128,0.3,32.0,64.0,7325,35.71429443359375,3.8785641193389893,3.83919095993042,0.9898484945297241
lsb,128,1.0,0.0,1.0,2254,0.0,3.65531587600708,3.6431024074554443,0.9966586828231812
lsb,128,1.0,1.0,2.0,2724,1.0,3.661846160888672,3.6397998332977295,0.9939794540405273
