bits,tdi,alpha,product_id,row0,col0,mean_clean_dn,mean_dim_dn,pred_sigma_mean,emp_sigma_mean,ratio
msb,64,0.1,ch2_ohr_nrp_20240316T0457443193_d_img_d18,74496,9984,12.719009399414062,1.27190101146698,0.9796925187110901,0.9728599190711975,0.9930257797241211
msb,64,0.3,ch2_ohr_nrp_20240316T0457443193_d_img_d18,74496,9984,12.719009399414062,3.8157029151916504,0.9921187162399292,0.9834818243980408,0.9912945032119751
msb,64,1.0,ch2_ohr_nrp_20240316T0457443193_d_img_d18,74496,9984,12.719009399414062,12.719009399414062,1.034641981124878,1.026580572128296,0.9922084808349609
msb,64,0.1,ch2_ohr_nrp_20250516T1342347288_d_img_d18,52992,8192,70.34458923339844,7.034459114074707,1.0475151538848877,1.040123462677002,0.9929435849189758
msb,64,0.3,ch2_ohr_nrp_20250516T1342347288_d_img_d18,52992,8192,70.34458923339844,21.103376388549805,1.1123684644699097,1.1033926010131836,0.9919308423995972
msb,64,1.0,ch2_ohr_nrp_20250516T1342347288_d_img_d18,52992,8192,70.34458923339844,70.34458923339844,1.3244729042053223,1.3122477531433105,0.9907698035240173
msb,64,0.1,ch2_ohr_nrp_20240316T0457443193_d_img_d18,83456,5632,38.265411376953125,3.8265414237976074,0.988993763923645,0.9811842441558838,0.9921035766601562
msb,64,0.3,ch2_ohr_nrp_20240316T0457443193_d_img_d18,83456,5632,38.265411376953125,11.479623794555664,1.0259270668029785,1.0176905393600464,0.9919716119766235
msb,64,1.0,ch2_ohr_nrp_20240316T0457443193_d_img_d18,83456,5632,38.265411376953125,38.265411376953125,1.1489485502243042,1.1391401290893555,0.9914631247520447
msb,64,0.1,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,32768,9472,43.98899841308594,4.398900032043457,0.9952312707901001,0.9863835573196411,0.9911099076271057
msb,64,0.3,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,32768,9472,43.98899841308594,13.196701049804688,1.0373601913452148,1.0298219919204712,0.9927332997322083
msb,64,1.0,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,32768,9472,43.98899841308594,43.98899841308594,1.1766128540039062,1.1651809215545654,0.9902840256690979
msb,64,0.1,ch2_ohr_nrp_20250612T2031048828_d_img_d18,56576,3328,93.03858947753906,9.303858757019043,0.9973515272140503,0.987980842590332,0.9906044602394104
msb,64,0.3,ch2_ohr_nrp_20250612T2031048828_d_img_d18,56576,3328,93.03858947753906,27.911579132080078,1.0862547159194946,1.076748251914978,0.9912484288215637
msb,64,1.0,ch2_ohr_nrp_20250612T2031048828_d_img_d18,56576,3328,93.03858947753906,93.03858947753906,1.3700878620147705,1.358626127243042,0.9916343092918396
msb,64,0.1,ch2_ohr_nrp_20220914T1033119094_d_img_d32,13568,1792,25.8441162109375,2.58441162109375,0.9902058243751526,0.9823967218399048,0.9921136498451233
msb,64,0.3,ch2_ohr_nrp_20220914T1033119094_d_img_d32,13568,1792,25.8441162109375,7.75323486328125,1.0148075819015503,1.0035730600357056,0.9889293909072876
msb,64,1.0,ch2_ohr_nrp_20220914T1033119094_d_img_d32,13568,1792,25.8441162109375,25.8441162109375,1.0969083309173584,1.086912751197815,0.9908875226974487
msb,64,0.1,ch2_ohr_nrp_20240316T0457443193_d_img_d18,61696,8192,37.121246337890625,3.7121245861053467,1.0315937995910645,1.024139165878296,0.9927736520767212
msb,64,0.3,ch2_ohr_nrp_20240316T0457443193_d_img_d18,61696,8192,37.121246337890625,11.136374473571777,1.065924048423767,1.0556817054748535,0.9903911352157593
msb,64,1.0,ch2_ohr_nrp_20240316T0457443193_d_img_d18,61696,8192,37.121246337890625,37.121246337890625,1.1810756921768188,1.172190546989441,0.9924770593643188
msb,64,0.1,ch2_ohr_nrp_20250612T2031048828_d_img_d18,73728,2048,99.22430419921875,9.922430038452148,1.053244948387146,1.043961524963379,0.9911859035491943
msb,64,0.3,ch2_ohr_nrp_20250612T2031048828_d_img_d18,73728,2048,99.22430419921875,29.767292022705078,1.1433241367340088,1.1322664022445679,0.9903284311294556
msb,64,1.0,ch2_ohr_nrp_20250612T2031048828_d_img_d18,73728,2048,99.22430419921875,99.22430419921875,1.4336793422698975,1.4198729991912842,0.990369975566864
msb,64,0.1,ch2_ohr_nrp_20210405T1606536730_d_img_d18,89600,3328,39.63401794433594,3.9634017944335938,0.970914363861084,0.9619878530502319,0.9908061027526855
msb,64,0.3,ch2_ohr_nrp_20210405T1606536730_d_img_d18,89600,3328,39.63401794433594,11.890205383300781,1.0099549293518066,1.001474142074585,0.9916027784347534
msb,64,1.0,ch2_ohr_nrp_20210405T1606536730_d_img_d18,89600,3328,39.63401794433594,39.63401794433594,1.1398370265960693,1.1312817335128784,0.9924942851066589
msb,64,0.1,ch2_ohr_nrp_20250516T0948068899_d_img_d18,72704,3072,68.98013305664062,6.898013114929199,1.0048437118530273,0.9958542585372925,0.9910538792610168
msb,64,0.3,ch2_ohr_nrp_20250516T0948068899_d_img_d18,72704,3072,68.98013305664062,20.694040298461914,1.0704349279403687,1.0613019466400146,0.9914679527282715
msb,64,1.0,ch2_ohr_nrp_20250516T0948068899_d_img_d18,72704,3072,68.98013305664062,68.98013305664062,1.2840476036071777,1.2729861736297607,0.9913855195045471
